Province,Tumbol,solar_energy,total,plowing(All),spray_fertilizer,pumping_water,MAY,JUN,JUL,AUG
Pathum Thani,Ku Khat,17.48,1757,1280,432,45,18.2723,17.8463,17.0139,16.8008
Pathum Thani,Lat Sawai,17.47,1757,1280,432,45,18.5306,17.766,16.9146,16.6712
Pathum Thani,Bueng Kham Phroi,17.58,1757,1280,432,45,18.6815,17.9023,16.9396,16.7849
Pathum Thani,Lam Luk Ka,17.66,1757,1280,432,45,18.7334,17.9103,17.1051,16.876
Pathum Thani,Bueng Thonglang,17.7,1757,1280,432,45,18.8741,17.9343,17.0794,16.9125
Pathum Thani,Lam Sai,17.69,1757,1280,432,45,18.8688,18.034,17.0016,16.8429
Pathum Thani,Bueng Kho Hai,17.8,1757,1280,432,45,18.9973,18.1158,17.1229,16.9462
Pathum Thani,Phet Udomsuek,17.73,1757,1280,432,45,18.9333,18.0722,16.9655,16.9408
Pathum Thani,Bang Toei,18.23,1757,1280,432,45,19.196,18.4668,17.812,17.4435
Pathum Thani,Khlong Khwai,18.32,1757,1280,432,45,19.2821,18.5392,17.9092,17.5609
Pathum Thani,Sam Khok,18.06,1757,1280,432,45,18.9328,18.3223,17.6696,17.3347
Pathum Thani,Krachaeng,17.98,1757,1280,432,45,18.8248,18.2316,17.5836,17.2987
Pathum Thani,Bang Pho Nuea,18.07,1757,1280,432,45,18.9396,18.322,17.7558,17.2502
Pathum Thani,Chiang Rak Yai,17.99,1757,1280,432,45,18.8069,18.3356,17.5778,17.2414
Pathum Thani,Ban Pathum,18.08,1757,1280,432,45,18.933,18.4073,17.6946,17.2869
Pathum Thani,Ban Ngiu,18.14,1757,1280,432,45,18.9876,18.4124,17.7814,17.3681
Pathum Thani,Chiang Rak Noi,18.15,1757,1280,432,45,18.999,18.4207,17.8038,17.3877
Pathum Thani,Bang Krabue,18.21,1757,1280,432,45,19.0415,18.4764,17.8589,17.4653
Pathum Thani,Thai Ko,18.33,1757,1280,432,45,19.1895,18.5657,18.0364,17.5381
Bangkok,Phraborommaharatchawang,17.85,1757,1280,432,45,18.9077,18.1662,17.3224,17.0051
Bangkok,Wang Burapha Phirom,17.86,1757,1280,432,45,18.9035,18.1576,17.3166,17.0717
Bangkok,Wat Rat Baphit,17.85,1757,1280,432,45,18.9077,18.1662,17.3224,17.0051
Bangkok,Samran Rat,17.85,1757,1280,432,45,18.9077,18.1662,17.3224,17.0051
Bangkok,San Chaopho Suea,17.85,1757,1280,432,45,18.9077,18.1662,17.3224,17.0051
Bangkok,Sao Chingcha,17.85,1757,1280,432,45,18.9077,18.1662,17.3224,17.0051
Bangkok,Bawon Niwet,17.85,1757,1280,432,45,18.9077,18.1662,17.3224,17.0051
Bangkok,Talat Yot,17.85,1757,1280,432,45,18.9077,18.1662,17.3224,17.0051
Bangkok,Chana Songkhram,17.85,1757,1280,432,45,18.9077,18.1662,17.3224,17.0051
Bangkok,Ban Phan Thom,17.85,1757,1280,432,45,18.9077,18.1662,17.3224,17.0051
Bangkok,Bang KhunPhrom,17.73,1757,1280,432,45,18.674,18.0268,17.2516,16.9544
Bangkok,Wat Sam Phraya,17.78,1757,1280,432,45,18.7681,18.1394,17.3012,16.9188
Bangkok,Dusit,17.73,1757,1280,432,45,18.674,18.0268,17.2516,16.9544
Bangkok,Wachira Phayaban,17.73,1757,1280,432,45,18.674,18.0268,17.2516,16.9544
Bangkok,Suan Chittralada,17.73,1757,1280,432,45,18.674,18.0268,17.2516,16.9544
Bangkok,Si Yaek Maha Nak,17.81,1757,1280,432,45,18.8105,18.1342,17.3139,16.9934
Bangkok,Thanon Nakhon Chai Si,17.61,1757,1280,432,45,18.5766,17.9145,17.1522,16.7922
Bangkok,Krathum Rai,17.74,1757,1280,432,45,18.8516,18.0799,17.0447,16.973
Bangkok,Nong Chok,17.63,1757,1280,432,45,18.7626,18.0133,16.8597,16.888
Bangkok,Khlong Sip,17.64,1757,1280,432,45,18.8611,17.9727,16.9365,16.8036
Bangkok,Khlong Sip Song,17.59,1757,1280,432,45,18.7628,17.9031,16.8432,16.8698
Bangkok,Khok Faet,17.6,1757,1280,432,45,18.7268,17.9171,16.902,16.8442
Bangkok,Khu Fang Nuea,17.58,1757,1280,432,45,18.7302,17.9919,16.8083,16.7715
Bangkok,Lam Phakchi,17.69,1757,1280,432,45,18.8241,17.9953,17.0357,16.9041
Bangkok,Lam Toi Ting,17.87,1757,1280,432,45,18.948,18.2346,17.2218,17.0894
Bangkok,Maha Pharue Tha Ram,17.81,1757,1280,432,45,18.8682,18.1405,17.2566,16.9622
Bangkok,Silom,17.83,1757,1280,432,45,18.9058,18.2018,17.2333,16.9669
Bangkok,Su Riya Wong,17.83,1757,1280,432,45,18.9058,18.2018,17.2333,16.9669
Bangkok,BangRak,17.87,1757,1280,432,45,18.955,18.1986,17.2829,17.0285
Bangkok,Si Phraya,17.79,1757,1280,432,45,18.8295,18.1575,17.2471,16.9179
Bangkok,Anusawari,17.41,1757,1280,432,45,18.2943,17.7413,16.8844,16.713
Bangkok,Tha Raeng,17.36,1757,1280,432,45,18.3857,17.6899,16.8007,16.5456
Bangkok,Khlong Chan,17.42,1757,1280,432,45,18.5242,17.7288,16.9118,16.5288
Bangkok,Hua Mak,17.53,1757,1280,432,45,18.5754,17.8372,17.0081,16.7027
Bangkok,RongMueang,17.81,1757,1280,432,45,18.8682,18.1405,17.2566,16.9622
Bangkok,Wang Mai,17.79,1757,1280,432,45,18.8295,18.1575,17.2471,16.9179
Bangkok,PathumWan,17.79,1757,1280,432,45,18.8295,18.1575,17.2471,16.9179
Bangkok,Lum Phi Ni,17.75,1757,1280,432,45,18.7705,18.1358,17.1785,16.8955
Bangkok,Pom Prap,17.81,1757,1280,432,45,18.8682,18.1405,17.2566,16.9622
Bangkok,Wat Thep Si Rin,17.81,1757,1280,432,45,18.8105,18.1342,17.3139,16.9934
Bangkok,Khlong Maha Nak,17.81,1757,1280,432,45,18.8105,18.1342,17.3139,16.9934
Bangkok,Ban Bat,17.81,1757,1280,432,45,18.8105,18.1342,17.3139,16.9934
Bangkok,Wat Sommanat,17.81,1757,1280,432,45,18.8105,18.1342,17.3139,16.9934
Bangkok,Bang Chak,17.85,1757,1280,432,45,18.7828,18.2109,17.3563,17.0672
Bangkok,PhraKhanong Tai,17.85,1757,1280,432,45,18.7808,18.2355,17.3354,17.044
Bangkok,Min Buri,17.4,1757,1280,432,45,18.4871,17.7558,16.8159,16.5467
Bangkok,Saen Saep,17.52,1757,1280,432,45,18.6888,17.9024,16.8108,16.6806
Bangkok,Lat Krabang,17.76,1757,1280,432,45,18.6838,18.0726,17.1976,17.0945
Bangkok,Khlong Song Ton Nun,17.6,1757,1280,432,45,18.5986,17.9798,17.0126,16.8288
Bangkok,Khlong Sam Prawet,17.62,1757,1280,432,45,18.6846,17.9999,16.9642,16.8212
Bangkok,Lam Pla Thio,17.7,1757,1280,432,45,18.7701,18.0629,17.0322,16.9214
Bangkok,Thap Yao,17.85,1757,1280,432,45,18.8587,18.1567,17.2988,17.0782
Bangkok,KhumThong,17.96,1757,1280,432,45,19.0211,18.2563,17.3323,17.2176
Bangkok,Chong Nonsi,17.93,1757,1280,432,45,18.967,18.2263,17.4586,17.0669
Bangkok,Bang Phongphang,18.09,1757,1280,432,45,19.1665,18.4512,17.5385,17.2065
Bangkok,Chakkrawat,17.81,1757,1280,432,45,18.8682,18.1405,17.2566,16.9622
Bangkok,Samphanthawong,17.81,1757,1280,432,45,18.8682,18.1405,17.2566,16.9622
Bangkok,Talat Noi,17.81,1757,1280,432,45,18.8682,18.1405,17.2566,16.9622
Bangkok,Sam Sen Nai,17.6,1757,1280,432,45,18.5964,17.9354,17.1027,16.7706
Bangkok,PhayaThai,17.61,1757,1280,432,45,18.5766,17.9145,17.1522,16.7922
Bangkok,Wat Kan Ya,17.86,1757,1280,432,45,18.9035,18.1576,17.3166,17.0717
Bangkok,Hiran Ruchi,17.86,1757,1280,432,45,18.9035,18.1576,17.3166,17.0717
Bangkok,Bang Yi Ruea,17.94,1757,1280,432,45,18.9821,18.217,17.4341,17.1209
Bangkok,Bu Khok Lo,17.99,1757,1280,432,45,19.0664,18.2306,17.4253,17.2288
Bangkok,Talat Phlu,17.99,1757,1280,432,45,19.0664,18.2306,17.4253,17.2288
Bangkok,Dao Khanong,18.1,1757,1280,432,45,19.2277,18.4092,17.5501,17.2037
Bangkok,Samre,17.94,1757,1280,432,45,18.9821,18.217,17.4341,17.1209
Bangkok,Wat Arun,17.86,1757,1280,432,45,18.9035,18.1576,17.3166,17.0717
Bangkok,Wat Tha Phra,17.93,1757,1280,432,45,19.0023,18.2285,17.3561,17.1255
Bangkok,Huai Khwang,17.55,1757,1280,432,45,18.5982,17.8792,17.0345,16.7014
Bangkok,BangKapi,17.62,1757,1280,432,45,18.6191,17.9641,17.1073,16.8061
Bangkok,Sam Sen Nok,17.5,1757,1280,432,45,18.4952,17.8874,16.9346,16.6744
Bangkok,Somdet ChaoPhraya,17.86,1757,1280,432,45,18.9035,18.1576,17.3166,17.0717
Bangkok,KhlongSan,17.81,1757,1280,432,45,18.8682,18.1405,17.2566,16.9622
Bangkok,Bang LamPhu Lang,17.94,1757,1280,432,45,18.9821,18.217,17.4341,17.1209
Bangkok,Khlong Ton Sai,17.87,1757,1280,432,45,18.955,18.1986,17.2829,17.0285
Bangkok,Khlong Chakphra,17.87,1757,1280,432,45,18.9587,18.1999,17.3465,16.9927
Bangkok,Taling Chan,17.86,1757,1280,432,45,18.8767,18.2181,17.3091,17.0204
Bangkok,Chimphli,17.91,1757,1280,432,45,18.9879,18.2211,17.3618,17.0535
Bangkok,Bang Phrom,17.98,1757,1280,432,45,19.0504,18.2874,17.4655,17.098
Bangkok,Bang Ramat,17.95,1757,1280,432,45,19.0561,18.2263,17.4118,17.1229
Bangkok,Bang Chueak Nang,17.99,1757,1280,432,45,19.0399,18.3656,17.4344,17.1006
Bangkok,Siri Rat,17.92,1757,1280,432,45,18.9987,18.2336,17.3896,17.044
Bangkok,Ban Chang Lo,17.92,1757,1280,432,45,18.9987,18.2336,17.3896,17.044
Bangkok,Bang Khun Non,17.87,1757,1280,432,45,18.9587,18.1999,17.3465,16.9927
Bangkok,Bang Khun Si,17.95,1757,1280,432,45,19.0444,18.259,17.4272,17.0617
Bangkok,Arun Amarin,17.85,1757,1280,432,45,18.8876,18.1704,17.3699,16.9708
Bangkok,Tha Kham,19.03,1757,1280,432,45,20.0698,19.2824,18.4867,18.2926
Bangkok,Samae Dam,18.57,1757,1280,432,45,19.6019,18.8408,17.9967,17.8339
Bangkok,Bang Wa,18.02,1757,1280,432,45,19.122,18.2957,17.476,17.189
Bangkok,Bang Duan,18.02,1757,1280,432,45,19.122,18.2957,17.476,17.189
Bangkok,Bang Chak,17.99,1757,1280,432,45,19.0884,18.3227,17.3862,17.1816
Bangkok,Bang Waek,17.99,1757,1280,432,45,19.1218,18.3289,17.393,17.1254
Bangkok,Khlong Khwang,18.01,1757,1280,432,45,19.1193,18.3465,17.4283,17.1581
